"Estimate","Std. Error","Year"
"12.763703648532","0.0813751058237794","1982"
"12.3593784873404","0.122962704538822","1983"
"12.5272673409661","0.0856663305606617","1984"
"12.6059118089815","0.0798447114765653","1985"
"12.4222793703352","0.085730898664333","1986"
"12.7780580059444","0.0765129408379582","1987"
"12.5636067638992","0.0635610027176531","1988"
"12.2002949588624","0.334582022352429","1989"
"12.3783501799695","0.141319911938308","1990"
"12.1606030780042","0.144845245146596","1991"
"11.957799306498","0.164727818208057","1992"
"12.0479892033607","0.140888963951167","1993"
"12.1441627398811","0.0749715141205524","1994"
"12.213647721821","0.0723539577285743","1995"
"12.1790416766917","0.250165618616126","1996"
"12.1853393397682","0.287628916225832","1997"
"11.6882669512333","0.429170912905081","1998"
"12.129161946275","0.0788488205185756","1999"
"11.9197707252693","0.383185432506568","2000"
"11.9785733063461","0.304121503991591","2001"
"11.5869970895354","0.446641764106937","2002"
"11.3061693660463","0.514702814883927","2003"
"11.1485184312261","0.532100590929113","2004"
"11.3907129051408","0.518457789235944","2005"
"12.3372336332057","0.110009654071928","2006"
"11.9583855986776","0.142730877509327","2007"
"12.1909588619039","0.0854279151527156","2008"
"12.4203383579362","0.0801595992565072","2009"
"11.7617494321849","0.153897416265642","2010"
"12.4258985756317","0.0721193029515031","2011"
"11.9690345099525","0.112460514447512","2012"
"11.9310948523236","0.235645901751032","2013"
"12.076108068539","0.138855674803069","2014"
"12.265050618179","0.111110313672357","2015"
"12.1622913473064","0.378908942075261","2016"
"12.520804314753","0.166442073223545","2017"
"12.1361981514149","0.305691912663271","2018"
"12.2107014864173","0.156761948239941","2019"
"12.0871624105508","0.398185410114569","2021"
"12.6124927105467","0.0644622186867596","1982"
"12.1564593669445","0.104637374293043","1983"
"12.4192828481848","0.0743551283584014","1984"
"12.4666350603028","0.0731046772224446","1985"
"12.3408651735583","0.0785374725858462","1986"
"12.5988561452789","0.0571214566093778","1987"
"12.4645788618401","0.0602525930214183","1988"
"12.077548861842","0.330660832255783","1989"
"12.2792840365899","0.135785337821533","1990"
"12.0554141630141","0.141450804638457","1991"
"11.89826056035","0.161296989511462","1992"
"11.9403576209202","0.133136140365296","1993"
"12.1049782580375","0.0716399566482249","1994"
"12.1723598685076","0.0682471967696422","1995"
"12.0523211656656","0.242001102846984","1996"
"12.0743399463289","0.282393111129585","1997"
"11.5304313949579","0.420393196398734","1998"
"12.1021390227481","0.0765124730464891","1999"
"11.8541197169052","0.380279031108802","2000"
"11.9272847835628","0.301820976924452","2001"
"11.4717622754389","0.439836137934829","2002"
"11.1473287785734","0.50301076185472","2003"
"11.0393844588696","0.523875608872841","2004"
"11.2706904233358","0.511982260064983","2005"
"12.2924379248806","0.107348572104468","2006"
"11.890591712943","0.138792058601809","2007"
"12.1500382478602","0.0823680755308107","2008"
"12.3605465419759","0.0763666825195128","2009"
"11.7375166774951","0.153430952329111","2010"
"12.3364893259485","0.0633474465033969","2011"
"11.9318063063029","0.109983360875932","2012"
"11.8372302282328","0.23076588271424","2013"
"11.8856472097417","0.115801554770827","2014"
"12.064757815083","0.0829804027045009","2015"
"11.7658483448803","0.384191364533034","2016"
"12.1571559390421","0.211642504322674","2017"
"11.4939853522738","0.479499872309419","2018"
"11.7320464492025","0.175222248847913","2019"
"11.7632129331001","0.424320046475426","2021"
"11.5930294437194","0.272748167331845","1982"
"11.3728064792718","0.375532360081432","1983"
"11.6291703390838","0.233280380707676","1984"
"11.3749695764366","0.264465370918934","1985"
"11.5899053124816","0.263711242252403","1986"
"11.4746906639494","0.266888097395901","1987"
"11.2384448212375","0.240868325473554","1988"
"11.6051340550727","0.217398235243037","1989"
"11.6478160911579","0.193940691711321","1990"
"11.4096982731565","0.260113171530656","1991"
"11.6475575248654","0.210200149016631","1992"
"11.3847092975533","0.364003239146452","1993"
"11.6871112271932","0.136013071455741","1994"
"11.6854606429051","0.135940366103738","1995"
"11.6973210037392","0.194207431194104","1996"
"11.5887697416345","0.248109671510052","1997"
"11.5621306057188","0.300849109430451","1998"
"11.5344473832247","0.414094802066705","1999"
"11.6001706144747","0.237814998810458","2000"
"11.6856878742204","0.182363603489246","2001"
"11.6501556333332","0.213822621779491","2002"
"11.7086423417834","0.172321051385767","2003"
"11.5562250479048","0.270762606559864","2004"
"11.3493815048316","0.386482650949402","2005"
"11.6830053645655","0.168110104668909","2006"
"11.6159314566917","0.254548584844279","2007"
"11.5416012920512","0.285819048515979","2008"
"11.3763016929291","0.341867628776632","2009"
"11.3776272266176","0.154437816701648","2010"
"11.6984386594106","0.146356433155197","2011"
"11.5670643289261","0.219889543112891","2012"
"11.5226364897211","0.24959894735323","2013"
"11.5023329207513","0.251755551329155","2014"
"11.5317035319549","0.170440244988438","2015"
"11.6185195079284","0.14368205772054","2016"
"11.3587763032997","0.107210303080502","2017"
"11.4111029050566","0.118119756053648","2018"
"11.467057102222","0.108568468537334","2019"
"11.2008797470442","0.109373066595332","2021"
