"m","Year","COG_hat","SE"
"1","1982","641.272182304245","16.3221636703619"
"1","1983","702.128490580353","16.787585282887"
"1","1984","698.821701498197","17.4440665223409"
"1","1985","680.247515483618","12.7527306126095"
"1","1986","712.987326365366","12.8539433574578"
"1","1987","699.461936373533","12.9655100929784"
"1","1988","671.897366349105","12.691595438552"
"1","1989","576.991277626184","11.8872173321099"
"1","1990","668.015910071452","16.8755999954861"
"1","1991","766.606203365615","16.9571761502109"
"1","1992","802.525271886955","17.3489500859062"
"1","1993","769.722251942828","13.4318326022806"
"1","1994","740.432021220682","13.472176800697"
"1","1995","736.230268613952","13.8802309511948"
"1","1996","721.890432946861","14.0697464943757"
"1","1997","715.823224004814","14.3485881559882"
"1","1998","720.717991202055","18.7189096990377"
"1","1999","677.744888031823","17.3853836232759"
"1","2000","688.580040861203","13.4060339620877"
"1","2001","744.955646740312","14.6023577145281"
"1","2002","657.310253314159","16.5709596317462"
"1","2003","685.202506112344","19.2991404619329"
"1","2004","638.578270888357","17.4052604619463"
"1","2005","643.015779858042","14.6095116437415"
"1","2006","604.732181317892","8.98108676731005"
"1","2007","730.755623384158","13.625359658242"
"1","2008","709.54869425122","11.2308220618018"
"1","2009","744.104718995637","10.427943023152"
"1","2010","744.826442379005","12.6114441107546"
"1","2011","743.265416435614","10.4112458465858"
"1","2012","865.219218107951","15.0249445982053"
"1","2013","791.018097868865","15.9831724238963"
"1","2014","810.05796924103","17.7175593530729"
"1","2015","771.418750593015","14.7236132906118"
"1","2016","675.238959553421","15.630310983444"
"1","2017","687.932344522266","13.6930820414134"
"1","2018","639.634353530436","12.1217540991582"
"1","2019","772.731263407662","16.7561832314308"
"1","2020","764.783409076663","58.6237999540016"
"1","2021","674.816651098897","14.7729965826049"
"2","1982","6532.94173564873","15.3706962909553"
"2","1983","6565.83659189321","16.8216103240964"
"2","1984","6503.13279863167","12.7513102939258"
"2","1985","6508.8597480707","10.6483515120312"
"2","1986","6455.86406627002","9.96899998514396"
"2","1987","6501.18116720329","19.0689734821415"
"2","1988","6445.41725660693","8.02066775750652"
"2","1989","6494.94881844586","14.9307731991551"
"2","1990","6485.16885468001","12.3566652746383"
"2","1991","6475.18418737202","8.92787793272902"
"2","1992","6445.23182177168","9.02039625574122"
"2","1993","6477.91768936611","12.3589999788589"
"2","1994","6456.39917654349","7.64152588741475"
"2","1995","6443.9336001203","8.05725127152132"
"2","1996","6481.81115264752","18.7664141588203"
"2","1997","6492.45714164625","15.6560943928917"
"2","1998","6531.86251462056","18.463535863986"
"2","1999","6447.02983267672","10.6184997408796"
"2","2000","6495.44311747127","11.7650455345654"
"2","2001","6473.04137824634","11.0221156884989"
"2","2002","6532.00611962443","15.3945372859206"
"2","2003","6531.68360963202","20.8187714324191"
"2","2004","6539.74550650431","15.535844576366"
"2","2005","6546.08021703153","13.9829436571012"
"2","2006","6509.51653918787","7.69770146384565"
"2","2007","6513.65158650667","8.82326286043233"
"2","2008","6488.8250366364","6.85956948011322"
"2","2009","6451.67693315951","7.98644803359794"
"2","2010","6414.87486995273","4.53572544149465"
"2","2011","6473.40375595091","10.6168653684679"
"2","2012","6467.02315444769","6.54905280045198"
"2","2013","6477.75013732778","12.6220739393575"
"2","2014","6532.49907985152","20.8378752765495"
"2","2015","6538.93689061934","22.2344928995594"
"2","2016","6615.96263926765","34.6415030274162"
"2","2017","6644.84071534036","11.1182635558584"
"2","2018","6728.08580983513","17.8933292529583"
"2","2019","6610.90827116952","13.0558214805756"
"2","2020","6514.18818223241","29.9504816840177"
"2","2021","6594.01582333766","9.00002520191307"
